uid,age,group,bw
106,1.000,Rapamycin,36.100
106,2.000,Rapamycin,34.300
106,3.000,Rapamycin,34.000
106,3.429,Rapamycin,34.200
106,4.000,Rapamycin,34.600
106,5.000,Rapamycin,32.500
106,6.000,Rapamycin,32.800
106,7.000,Rapamycin,33.200
106,8.000,Rapamycin,33.600
106,9.000,Rapamycin,33.200
106,10.000,Rapamycin,34.000
106,11.000,Rapamycin,32.100
3,-0.286,Control,44.800
3,0.000,Control,41.700
3,1.000,Control,37.000
3,2.000,Control,36.400
3,3.000,Control,37.600
3,3.429,Control,39.000
3,4.000,Control,41.300
3,5.000,Control,39.400
3,6.000,Control,40.000
3,7.000,Control,42.400
3,8.000,Control,42.400
3,9.000,Control,44.100
3,10.000,Control,45.000
3,11.000,Control,46.100
4,-0.286,Control,35.400
4,0.000,Control,34.000
4,1.000,Control,33.600
4,2.000,Control,33.500
4,3.000,Control,32.400
4,3.429,Control,33.300
4,4.000,Control,32.600
4,5.000,Control,33.100
4,6.000,Control,32.900
4,7.000,Control,33.000
4,8.000,Control,33.000
4,9.000,Control,33.600
4,10.000,Control,34.200
4,11.000,Control,34.100
18,-0.286,Control,46.900
18,0.000,Control,44.400
18,1.000,Control,41.500
18,2.000,Control,40.800
18,3.000,Control,40.800
18,3.429,Control,43.200
18,4.000,Control,45.100
18,5.000,Control,44.900
18,6.000,Control,46.400
18,7.000,Control,47.400
18,8.000,Control,47.400
18,9.000,Control,51.300
18,10.000,Control,51.300
18,11.000,Control,54.300
49,-0.286,Control,39.300
49,0.000,Control,35.900
49,1.000,Control,34.100
49,2.000,Control,33.100
49,3.000,Control,33.700
49,3.429,Control,34.400
49,4.000,Control,34.400
49,5.000,Control,34.600
49,6.000,Control,34.900
49,7.000,Control,35.300
49,8.000,Control,35.300
49,9.000,Control,35.800
49,10.000,Control,35.500
49,11.000,Control,36.400
61,-0.286,Control,41.700
61,0.000,Control,38.600
61,1.000,Control,35.900
61,2.000,Control,35.200
61,3.000,Control,34.800
61,3.429,Control,36.000
61,4.000,Control,37.200
61,5.000,Control,36.800
61,6.000,Control,36.400
61,7.000,Control,36.300
61,8.000,Control,36.300
61,9.000,Control,37.800
61,10.000,Control,38.300
61,11.000,Control,38.600
64,-0.286,Control,43.300
64,0.000,Control,39.300
64,1.000,Control,37.400
64,2.000,Control,37.600
64,3.000,Control,36.900
64,3.429,Control,38.800
64,4.000,Control,38.300
64,5.000,Control,38.600
64,6.000,Control,39.100
64,7.000,Control,40.600
64,8.000,Control,40.600
64,9.000,Control,42.100
64,10.000,Control,43.100
64,11.000,Control,43.300
69,-0.286,Control,49.700
69,0.000,Control,47.300
69,1.000,Control,42.400
69,2.000,Control,36.400
69,3.000,Control,41.300
69,3.429,Control,41.600
69,4.000,Control,43.100
69,5.000,Control,44.300
69,6.000,Control,44.700
69,7.000,Control,45.400
